,temperature,replicate,combination,richness,inv_community_CV,resist
118,19,1,"Colp, Dexio, Loxo, Para",4,2.273307299,-0.010839302
119,19,1,"Colp, Dexio, Loxo, Para, Spiro",5,3.581521899,-0.009748044
120,19,1,"Colp, Dexio, Loxo, Spiro",4,2.869801421,-2.82273E-05
121,19,1,"Colp, Dexio, Para, Spiro",4,2.299908963,-0.006830994
122,19,1,"Colp, Loxo",2,2.993061533,-0.013650204
123,19,1,"Colp, Loxo, Dexio",3,1.94758798,-0.009814367
124,19,1,"Colp, Loxo, Para, Spiro",4,3.166891451,-0.012781622
125,19,1,"Colp, Para",2,1.598985926,-0.008400919
126,19,1,"Colp, Para, Dexio",3,2.537287925,-0.004103859
127,19,1,"Colp, Spiro",2,2.839812797,0.00645283
128,19,1,"Colp, Tetra, Loxo",3,3.070647033,0.00865427
129,19,1,Dexio,1,0.99357941,0.002835346
130,19,1,"Dexio, Loxo",2,3.924067671,-0.000517738
131,19,1,"Dexio, Loxo, Para, Spiro",4,2.803602221,-0.012961672
132,19,1,"Dexio, Para",2,1.341207272,-0.001198055
133,19,1,"Dexio, Spiro",2,NA,-0.019200118
134,19,1,Loxo,1,NA,-0.039183353
135,19,1,"Loxo, Para",2,1.782066984,-0.008325778
136,19,1,"Loxo, Spiro",2,2.540700001,0.007882002
137,19,1,Para,1,1.707805633,0.00133731
138,19,1,"Para, Spiro",2,1.922061109,0.002172764
139,19,1,Spiro,1,2.571489421,0.015626009
140,19,1,"Spiro, Colp, Para",3,2.567498145,-0.006483114
141,19,1,"Spiro, Colp, Tetra",3,2.750030284,0.001119069
142,19,1,"Spiro, Loxo, Dexio",3,1.915530809,-0.010824188
143,19,1,"Spiro, Loxo, Para",3,2.805446808,-0.001388812
144,19,1,"Spiro, Tetra, Dexio",3,2.744391761,0.002011762
145,19,1,Tetra,1,0.578184488,-0.001463611
146,19,1,"Tetra, Colp",2,3.564611474,0.002560285
147,19,1,"Tetra, Colp, Dexio, Loxo",4,2.258730526,-0.019292278
148,19,1,"Tetra, Colp, Dexio, Loxo, Para",5,2.388427258,-0.013976889
149,19,1,"Tetra, Colp, Dexio, Loxo, Para, Spiro",6,4.120274055,-0.009261485
150,19,1,"Tetra, Colp, Dexio, Loxo, Spiro",5,3.436419931,0.011731405
151,19,1,"Tetra, Colp, Dexio, Para",4,2.17960526,-0.00401917
152,19,1,"Tetra, Colp, Dexio, Para, Spiro",5,2.858541744,0.000115403
153,19,1,"Tetra, Colp, Dexio, Spiro",4,2.742953717,-0.00025087
154,19,1,"Tetra, Colp, Loxo, Para",4,2.196247579,-0.032204233
155,19,1,"Tetra, Colp, Loxo, Para, Spiro",5,2.970303067,0.006617551
156,19,1,"Tetra, Colp, Loxo, Spiro",4,2.381625697,0.014112741
157,19,1,"Tetra, Colp, Para, Spiro",4,2.684242378,-0.001997618
158,19,1,"Tetra, Dexio",2,1.5631344,-2.01467E-06
159,19,1,"Tetra, Dexio, Loxo, Para",4,1.818528182,-0.013502315
160,19,1,"Tetra, Dexio, Loxo, Para, Spiro",5,2.019308394,0.015460838
161,19,1,"Tetra, Dexio, Loxo, Spiro",4,2.10460048,-0.014989586
162,19,1,"Tetra, Dexio, Para, Spiro",4,2.315025489,-0.004454355
163,19,1,"Tetra, Loxo",2,1.747304911,0.063681288
164,19,1,"Tetra, Loxo, Para",3,1.464345422,-0.023318032
