microcosmID,combination,temperature,richness,replicate,day,total_biomass
77,"Colp, Dexio",15,2,1,9,0.107327123
77,"Colp, Dexio",15,2,1,11,0.093092126
77,"Colp, Dexio",15,2,1,13,0.081840384
77,"Colp, Dexio",15,2,1,15,0.070452796
77,"Colp, Dexio",15,2,1,17,0.060694493
77,"Colp, Dexio",15,2,1,19,0.061173582
77,"Colp, Dexio",15,2,1,21,0.064741551
77,"Colp, Dexio",15,2,1,23,0.07327291
77,"Colp, Dexio",15,2,1,25,0.047845959
77,"Colp, Dexio",15,2,1,27,0.062135081
77,"Colp, Dexio",15,2,1,29,0.052914264
77,"Colp, Dexio",15,2,1,31,0.055288029
77,"Colp, Dexio",15,2,1,33,0.070985431
77,"Colp, Dexio",15,2,1,35,0.060947795
77,"Colp, Dexio",15,2,1,37,0.067822527
102,"Colp, Dexio",15,2,2,1,0.145048248
102,"Colp, Dexio",15,2,2,3,0.143578417
102,"Colp, Dexio",15,2,2,5,0.164385714
102,"Colp, Dexio",15,2,2,7,0.161282358
102,"Colp, Dexio",15,2,2,9,0.130803993
102,"Colp, Dexio",15,2,2,11,0.196409322
102,"Colp, Dexio",15,2,2,13,0.145075801
102,"Colp, Dexio",15,2,2,15,0.121165366
102,"Colp, Dexio",15,2,2,17,0.113615379
102,"Colp, Dexio",15,2,2,19,0.090228096
102,"Colp, Dexio",15,2,2,21,0.081830559
102,"Colp, Dexio",15,2,2,23,0.093218981
102,"Colp, Dexio",15,2,2,25,0.084532615
102,"Colp, Dexio",15,2,2,27,0.069154108
102,"Colp, Dexio",15,2,2,29,0.055103274
102,"Colp, Dexio",15,2,2,31,0.074089411
102,"Colp, Dexio",15,2,2,33,0.10701448
102,"Colp, Dexio",15,2,2,35,0.111228849
102,"Colp, Dexio",15,2,2,37,0.068716364
171,"Colp, Dexio",17,2,1,1,0.128691782
171,"Colp, Dexio",17,2,1,3,0.128457567
171,"Colp, Dexio",17,2,1,5,0.094813838
171,"Colp, Dexio",17,2,1,7,0.13013741
171,"Colp, Dexio",17,2,1,9,0.281794022
171,"Colp, Dexio",17,2,1,11,0.098418947
171,"Colp, Dexio",17,2,1,13,0.125318503
171,"Colp, Dexio",17,2,1,15,0.104752179
171,"Colp, Dexio",17,2,1,17,0.073276878
171,"Colp, Dexio",17,2,1,19,0.107213974
171,"Colp, Dexio",17,2,1,21,0.127208549
171,"Colp, Dexio",17,2,1,23,0.055040124
171,"Colp, Dexio",17,2,1,25,0.057480725
171,"Colp, Dexio",17,2,1,27,0.062599985
171,"Colp, Dexio",17,2,1,29,0.061193688
171,"Colp, Dexio",17,2,1,31,0.067051117
171,"Colp, Dexio",17,2,1,33,0.064378996
171,"Colp, Dexio",17,2,1,35,0.042956389
171,"Colp, Dexio",17,2,1,37,0.04021288
188,"Colp, Dexio",17,2,2,1,0.257217923
188,"Colp, Dexio",17,2,2,3,0.142915396
188,"Colp, Dexio",17,2,2,5,0.10396076
188,"Colp, Dexio",17,2,2,7,0.147333377
188,"Colp, Dexio",17,2,2,9,0.182012204
188,"Colp, Dexio",17,2,2,11,0.195974477
188,"Colp, Dexio",17,2,2,13,0.114446214
188,"Colp, Dexio",17,2,2,15,0.066910985
188,"Colp, Dexio",17,2,2,17,0.087117346
188,"Colp, Dexio",17,2,2,19,0.11013466
188,"Colp, Dexio",17,2,2,21,0.09871461
